julian, epoch, x, y, z, vx, vy, vz, LT, RG, RR
2457570.500000000, A.D. 2016-Jul-01,0,0,0,0,0,0,0,0,0
2457754.500000000, A.D. 2017-Jan-01,0,0,0,0,0,0,0,0,0
2457935.500000000, A.D. 2017-Jul-01,0,0,0,0,0,0,0,0,0
2458119.500000000, A.D. 2018-Jan-01,0,0,0,0,0,0,0,0,0
2458300.500000000, A.D. 2018-Jul-01,0,0,0,0,0,0,0,0,0
2458484.500000000, A.D. 2019-Jan-01,0,0,0,0,0,0,0,0,0
2458665.500000000, A.D. 2019-Jul-01,0,0,0,0,0,0,0,0,0
2458849.500000000, A.D. 2020-Jan-01,0,0,0,0,0,0,0,0,0
2459031.500000000, A.D. 2020-Jul-01,0,0,0,0,0,0,0,0,0
2459215.500000000, A.D. 2021-Jan-01,0,0,0,0,0,0,0,0,0
2459396.500000000, A.D. 2021-Jul-01,0,0,0,0,0,0,0,0,0
2459580.500000000, A.D. 2022-Jan-01,0,0,0,0,0,0,0,0,0
2459761.500000000, A.D. 2022-Jul-01,0,0,0,0,0,0,0,0,0
2459945.500000000, A.D. 2023-Jan-01,0,0,0,0,0,0,0,0,0
2460126.500000000, A.D. 2023-Jul-01,0,0,0,0,0,0,0,0,0
2460310.500000000, A.D. 2024-Jan-01,0,0,0,0,0,0,0,0,0
2460492.500000000, A.D. 2024-Jul-01,0,0,0,0,0,0,0,0,0
2460676.500000000, A.D. 2025-Jan-01,0,0,0,0,0,0,0,0,0
2460857.500000000, A.D. 2025-Jul-01,0,0,0,0,0,0,0,0,0
2461041.500000000, A.D. 2026-Jan-01,0,0,0,0,0,0,0,0,0
2461222.500000000, A.D. 2026-Jul-01,0,0,0,0,0,0,0,0,0
2461406.500000000, A.D. 2027-Jan-01,0,0,0,0,0,0,0,0,0
2461587.500000000, A.D. 2027-Jul-01,0,0,0,0,0,0,0,0,0
2461771.500000000, A.D. 2028-Jan-01,0,0,0,0,0,0,0,0,0
2461953.500000000, A.D. 2028-Jul-01,0,0,0,0,0,0,0,0,0
2462137.500000000, A.D. 2029-Jan-01,0,0,0,0,0,0,0,0,0
2462318.500000000, A.D. 2029-Jul-01,0,0,0,0,0,0,0,0,0
2462502.500000000, A.D. 2030-Jan-01,0,0,0,0,0,0,0,0,0
2462683.500000000, A.D. 2030-Jul-01,0,0,0,0,0,0,0,0,0
2462867.500000000, A.D. 2031-Jan-01,0,0,0,0,0,0,0,0,0
2463048.500000000, A.D. 2031-Jul-01,0,0,0,0,0,0,0,0,0
2463232.500000000, A.D. 2032-Jan-01,0,0,0,0,0,0,0,0,0
2463414.500000000, A.D. 2032-Jul-01,0,0,0,0,0,0,0,0,0
2463598.500000000, A.D. 2033-Jan-01,0,0,0,0,0,0,0,0,0
2463779.500000000, A.D. 2033-Jul-01,0,0,0,0,0,0,0,0,0
2463963.500000000, A.D. 2034-Jan-01,0,0,0,0,0,0,0,0,0
2464144.500000000, A.D. 2034-Jul-01,0,0,0,0,0,0,0,0,0
2464328.500000000, A.D. 2035-Jan-01,0,0,0,0,0,0,0,0,0
2464509.500000000, A.D. 2035-Jul-01,0,0,0,0,0,0,0,0,0
2464693.500000000, A.D. 2036-Jan-01,0,0,0,0,0,0,0,0,0
2464875.500000000, A.D. 2036-Jul-01,0,0,0,0,0,0,0,0,0
2465059.500000000, A.D. 2037-Jan-01,0,0,0,0,0,0,0,0,0
2465240.500000000, A.D. 2037-Jul-01,0,0,0,0,0,0,0,0,0
2465424.500000000, A.D. 2038-Jan-01,0,0,0,0,0,0,0,0,0
2465605.500000000, A.D. 2038-Jul-01,0,0,0,0,0,0,0,0,0
2465789.500000000, A.D. 2039-Jan-01,0,0,0,0,0,0,0,0,0
2465970.500000000, A.D. 2039-Jul-01,0,0,0,0,0,0,0,0,0
2466154.500000000, A.D. 2040-Jan-01,0,0,0,0,0,0,0,0,0
2466336.500000000, A.D. 2040-Jul-01,0,0,0,0,0,0,0,0,0
2466520.500000000, A.D. 2041-Jan-01,0,0,0,0,0,0,0,0,0
2466701.500000000, A.D. 2041-Jul-01,0,0,0,0,0,0,0,0,0
2466885.500000000, A.D. 2042-Jan-01,0,0,0,0,0,0,0,0,0
2467066.500000000, A.D. 2042-Jul-01,0,0,0,0,0,0,0,0,0
2467250.500000000, A.D. 2043-Jan-01,0,0,0,0,0,0,0,0,0
2467431.500000000, A.D. 2043-Jul-01,0,0,0,0,0,0,0,0,0
2467615.500000000, A.D. 2044-Jan-01,0,0,0,0,0,0,0,0,0
2467797.500000000, A.D. 2044-Jul-01,0,0,0,0,0,0,0,0,0
2467981.500000000, A.D. 2045-Jan-01,0,0,0,0,0,0,0,0,0
2468162.500000000, A.D. 2045-Jul-01,0,0,0,0,0,0,0,0,0
2468346.500000000, A.D. 2046-Jan-01,0,0,0,0,0,0,0,0,0
2468527.500000000, A.D. 2046-Jul-01,0,0,0,0,0,0,0,0,0
2468711.500000000, A.D. 2047-Jan-01,0,0,0,0,0,0,0,0,0
2468892.500000000, A.D. 2047-Jul-01,0,0,0,0,0,0,0,0,0
2469076.500000000, A.D. 2048-Jan-01,0,0,0,0,0,0,0,0,0
2469258.500000000, A.D. 2048-Jul-01,0,0,0,0,0,0,0,0,0
2469442.500000000, A.D. 2049-Jan-01,0,0,0,0,0,0,0,0,0
2469623.500000000, A.D. 2049-Jul-01,0,0,0,0,0,0,0,0,0
2469807.500000000, A.D. 2050-Jan-01,0,0,0,0,0,0,0,0,0
2469988.500000000, A.D. 2050-Jul-01,0,0,0,0,0,0,0,0,0
2470172.500000000, A.D. 2051-Jan-01,0,0,0,0,0,0,0,0,0
2470353.500000000, A.D. 2051-Jul-01,0,0,0,0,0,0,0,0,0
2470537.500000000, A.D. 2052-Jan-01,0,0,0,0,0,0,0,0,0
2470719.500000000, A.D. 2052-Jul-01,0,0,0,0,0,0,0,0,0
2470903.500000000, A.D. 2053-Jan-01,0,0,0,0,0,0,0,0,0
2471084.500000000, A.D. 2053-Jul-01,0,0,0,0,0,0,0,0,0
2471268.500000000, A.D. 2054-Jan-01,0,0,0,0,0,0,0,0,0
2471449.500000000, A.D. 2054-Jul-01,0,0,0,0,0,0,0,0,0
2471633.500000000, A.D. 2055-Jan-01,0,0,0,0,0,0,0,0,0
2471814.500000000, A.D. 2055-Jul-01,0,0,0,0,0,0,0,0,0
2471998.500000000, A.D. 2056-Jan-01,0,0,0,0,0,0,0,0,0
2472180.500000000, A.D. 2056-Jul-01,0,0,0,0,0,0,0,0,0
2472364.500000000, A.D. 2057-Jan-01,0,0,0,0,0,0,0,0,0
2472545.500000000, A.D. 2057-Jul-01,0,0,0,0,0,0,0,0,0
2472729.500000000, A.D. 2058-Jan-01,0,0,0,0,0,0,0,0,0
2472910.500000000, A.D. 2058-Jul-01,0,0,0,0,0,0,0,0,0
2473094.500000000, A.D. 2059-Jan-01,0,0,0,0,0,0,0,0,0
2473275.500000000, A.D. 2059-Jul-01,0,0,0,0,0,0,0,0,0
2473459.500000000, A.D. 2060-Jan-01,0,0,0,0,0,0,0,0,0
2473641.500000000, A.D. 2060-Jul-01,0,0,0,0,0,0,0,0,0
2473825.500000000, A.D. 2061-Jan-01,0,0,0,0,0,0,0,0,0
2474006.500000000, A.D. 2061-Jul-01,0,0,0,0,0,0,0,0,0
2474190.500000000, A.D. 2062-Jan-01,0,0,0,0,0,0,0,0,0
2474371.500000000, A.D. 2062-Jul-01,0,0,0,0,0,0,0,0,0
2474555.500000000, A.D. 2063-Jan-01,0,0,0,0,0,0,0,0,0
2474736.500000000, A.D. 2063-Jul-01,0,0,0,0,0,0,0,0,0
2474920.500000000, A.D. 2064-Jan-01,0,0,0,0,0,0,0,0,0
2475102.500000000, A.D. 2064-Jul-01,0,0,0,0,0,0,0,0,0
2475286.500000000, A.D. 2065-Jan-01,0,0,0,0,0,0,0,0,0
2475467.500000000, A.D. 2065-Jul-01,0,0,0,0,0,0,0,0,0
2475651.500000000, A.D. 2066-Jan-01,0,0,0,0,0,0,0,0,0
2475832.500000000, A.D. 2066-Jul-01,0,0,0,0,0,0,0,0,0
2476016.500000000, A.D. 2067-Jan-01,0,0,0,0,0,0,0,0,0
2476197.500000000, A.D. 2067-Jul-01,0,0,0,0,0,0,0,0,0
2476381.500000000, A.D. 2068-Jan-01,0,0,0,0,0,0,0,0,0
2476563.500000000, A.D. 2068-Jul-01,0,0,0,0,0,0,0,0,0
2476747.500000000, A.D. 2069-Jan-01,0,0,0,0,0,0,0,0,0
2476928.500000000, A.D. 2069-Jul-01,0,0,0,0,0,0,0,0,0
2477112.500000000, A.D. 2070-Jan-01,0,0,0,0,0,0,0,0,0
2477293.500000000, A.D. 2070-Jul-01,0,0,0,0,0,0,0,0,0
2477477.500000000, A.D. 2071-Jan-01,0,0,0,0,0,0,0,0,0
2477658.500000000, A.D. 2071-Jul-01,0,0,0,0,0,0,0,0,0
2477842.500000000, A.D. 2072-Jan-01,0,0,0,0,0,0,0,0,0
2478024.500000000, A.D. 2072-Jul-01,0,0,0,0,0,0,0,0,0
2478208.500000000, A.D. 2073-Jan-01,0,0,0,0,0,0,0,0,0
2478389.500000000, A.D. 2073-Jul-01,0,0,0,0,0,0,0,0,0
2478573.500000000, A.D. 2074-Jan-01,0,0,0,0,0,0,0,0,0
2478754.500000000, A.D. 2074-Jul-01,0,0,0,0,0,0,0,0,0
2478938.500000000, A.D. 2075-Jan-01,0,0,0,0,0,0,0,0,0
2479119.500000000, A.D. 2075-Jul-01,0,0,0,0,0,0,0,0,0
2479303.500000000, A.D. 2076-Jan-01,0,0,0,0,0,0,0,0,0
2479485.500000000, A.D. 2076-Jul-01,0,0,0,0,0,0,0,0,0
2479669.500000000, A.D. 2077-Jan-01,0,0,0,0,0,0,0,0,0
2479850.500000000, A.D. 2077-Jul-01,0,0,0,0,0,0,0,0,0
2480034.500000000, A.D. 2078-Jan-01,0,0,0,0,0,0,0,0,0
2480215.500000000, A.D. 2078-Jul-01,0,0,0,0,0,0,0,0,0
2480399.500000000, A.D. 2079-Jan-01,0,0,0,0,0,0,0,0,0
2480580.500000000, A.D. 2079-Jul-01,0,0,0,0,0,0,0,0,0
2480764.500000000, A.D. 2080-Jan-01,0,0,0,0,0,0,0,0,0
2480946.500000000, A.D. 2080-Jul-01,0,0,0,0,0,0,0,0,0
2481130.500000000, A.D. 2081-Jan-01,0,0,0,0,0,0,0,0,0
2481311.500000000, A.D. 2081-Jul-01,0,0,0,0,0,0,0,0,0
2481495.500000000, A.D. 2082-Jan-01,0,0,0,0,0,0,0,0,0
2481676.500000000, A.D. 2082-Jul-01,0,0,0,0,0,0,0,0,0
2481860.500000000, A.D. 2083-Jan-01,0,0,0,0,0,0,0,0,0
2482041.500000000, A.D. 2083-Jul-01,0,0,0,0,0,0,0,0,0
